Size,Threshold,Time,Array Type
5000,15,3289.1,Random Array
5000,15,2853.4,Reversed Array
5000,15,3116.4,Nearly Sorted Array
5000,20,2820.8,Random Array
5000,20,2668.3,Reversed Array
5000,20,2332.4,Nearly Sorted Array
5000,30,2774.5,Random Array
5000,30,2915.7,Reversed Array
5000,30,2294.2,Nearly Sorted Array
5000,50,2689.4,Random Array
5000,50,3142.7,Reversed Array
5000,50,2002.1,Nearly Sorted Array
5100,5,4375.9,Random Array
5100,5,4108.2,Reversed Array
5100,5,4023.9,Nearly Sorted Array
5100,10,3298.9,Random Array
5100,10,3058.5,Reversed Array
5100,10,3018.3,Nearly Sorted Array
5100,15,3639.9,Random Array
5100,15,2960.5,Reversed Array
5100,15,2974.9,Nearly Sorted Array
5100,20,2781.6,Random Array
5100,20,2741.7,Reversed Array
5100,20,2293.8,Nearly Sorted Array
5100,30,2789.2,Random Array
5100,30,2700.4,Reversed Array
5100,30,2331.5,Nearly Sorted Array
5100,50,2761.6,Random Array
5100,50,3158.5,Reversed Array
5100,50,1993.2,Nearly Sorted Array
5200,5,4890.9,Random Array
5200,5,4184.8,Reversed Array
5200,5,4394.9,Nearly Sorted Array
5200,10,3481.4,Random Array
5200,10,3080.6,Reversed Array
5200,10,3161.1,Nearly Sorted Array
5200,15,3408.7,Random Array
5200,15,3073,Reversed Array
5200,15,2937,Nearly Sorted Array
5200,20,3062.4,Random Array
5200,20,2944.6,Reversed Array
5200,20,2552.8,Nearly Sorted Array
5200,30,2931.5,Random Array
5200,30,2934.9,Reversed Array
5200,30,2990.8,Nearly Sorted Array
5200,50,2890.1,Random Array
5200,50,3208.9,Reversed Array
5200,50,2081.2,Nearly Sorted Array
5300,5,5091.6,Random Array
5300,5,4430.3,Reversed Array
5300,5,4496.7,Nearly Sorted Array
5300,10,3944,Random Array
5300,10,3812.8,Reversed Array
5300,10,3587.8,Nearly Sorted Array
5300,15,3362.8,Random Array
5300,15,3066.6,Reversed Array
5300,15,2954.8,Nearly Sorted Array
5300,20,3233.8,Random Array
5300,20,3083.7,Reversed Array
5300,20,2799,Nearly Sorted Array
5300,30,2965.5,Random Array
5300,30,2860.7,Reversed Array
5300,30,2421.7,Nearly Sorted Array
5300,50,2912.1,Random Array
5300,50,3320,Reversed Array
5300,50,2064.2,Nearly Sorted Array
5400,5,5391.8,Random Array
5400,5,4575.7,Reversed Array
5400,5,5476.2,Nearly Sorted Array
5400,10,4142.5,Random Array
5400,10,3595.5,Reversed Array
5400,10,3686.5,Nearly Sorted Array
5400,15,3559.6,Random Array
5400,15,3132.4,Reversed Array
5400,15,3033.9,Nearly Sorted Array
5400,20,3609.6,Random Array
5400,20,3176,Reversed Array
5400,20,3088.9,Nearly Sorted Array
5400,30,2995.2,Random Array
5400,30,2889.9,Reversed Array
5400,30,2431.8,Nearly Sorted Array
5400,50,2981.1,Random Array
5400,50,3454.3,Reversed Array
5400,50,2147,Nearly Sorted Array
5500,5,5367.5,Random Array
5500,5,5132.8,Reversed Array
5500,5,5021.6,Nearly Sorted Array
5500,10,4376.4,Random Array
5500,10,3871.2,Reversed Array
5500,10,4062.7,Nearly Sorted Array
5500,15,3643.2,Random Array
5500,15,3183.3,Reversed Array
5500,15,3138.4,Nearly Sorted Array
5500,20,3531.3,Random Array
5500,20,3276.3,Reversed Array
5500,20,3107.9,Nearly Sorted Array
5500,30,3100.8,Random Array
5500,30,2939.4,Reversed Array
5500,30,2504.2,Nearly Sorted Array
5500,50,3196.6,Random Array
5500,50,3511.8,Reversed Array
5500,50,2175.8,Nearly Sorted Array
5600,5,8131.5,Random Array
5600,5,7682.3,Reversed Array
5600,5,7817.9,Nearly Sorted Array
5600,10,4643.1,Random Array
5600,10,3990.8,Reversed Array
5600,10,4235.3,Nearly Sorted Array
5600,15,3534.7,Random Array
5600,15,3155.3,Reversed Array
5600,15,3121.4,Nearly Sorted Array
5600,20,3585.3,Random Array
5600,20,3219.4,Reversed Array
5600,20,3687.1,Nearly Sorted Array
5600,30,3589.3,Random Array
5600,30,3080.8,Reversed Array
5600,30,2531.8,Nearly Sorted Array
5600,50,3098.6,Random Array
5600,50,3806.7,Reversed Array
5600,50,2416.2,Nearly Sorted Array
5700,5,6051.3,Random Array
5700,5,5408,Reversed Array
5700,5,5722.6,Nearly Sorted Array
5700,10,4768.9,Random Array
5700,10,4376.4,Reversed Array
5700,10,4278.9,Nearly Sorted Array
5700,15,3596.1,Random Array
5700,15,3330,Reversed Array
5700,15,3187.5,Nearly Sorted Array
5700,20,3707.5,Random Array
5700,20,3249.3,Reversed Array
5700,20,3126.4,Nearly Sorted Array
5700,30,3235.5,Random Array
5700,30,3088.7,Reversed Array
5700,30,2579.2,Nearly Sorted Array
5700,50,3150.3,Random Array
5700,50,3730.8,Reversed Array
5700,50,2419.7,Nearly Sorted Array
5800,5,6487.2,Random Array
5800,5,5488.9,Reversed Array
5800,5,6089.2,Nearly Sorted Array
5800,10,4874.8,Random Array
5800,10,4262.5,Reversed Array
5800,10,4498,Nearly Sorted Array
5800,15,3802.4,Random Array
5800,15,3380.4,Reversed Array
5800,15,3154.9,Nearly Sorted Array
5800,20,3686.1,Random Array
5800,20,3367.1,Reversed Array
5800,20,3194.4,Nearly Sorted Array
5800,30,3192.5,Random Array
5800,30,3136.9,Reversed Array
5800,30,2572.9,Nearly Sorted Array
5800,50,3242.3,Random Array
5800,50,3943.1,Reversed Array
5800,50,2309.3,Nearly Sorted Array
5900,5,6770.3,Random Array
5900,5,5845,Reversed Array
5900,5,6603.5,Nearly Sorted Array
5900,10,4854,Random Array
5900,10,4170.3,Reversed Array
5900,10,4375.5,Nearly Sorted Array
5900,15,3812.9,Random Array
5900,15,3333.8,Reversed Array
5900,15,3380.1,Nearly Sorted Array
5900,20,3964.6,Random Array
5900,20,3410.2,Reversed Array
5900,20,3203.1,Nearly Sorted Array
5900,30,3218.7,Random Array
5900,30,3243.1,Reversed Array
5900,30,2608.2,Nearly Sorted Array
5900,50,3309.7,Random Array
5900,50,3984,Reversed Array
5900,50,2561.1,Nearly Sorted Array
6000,5,6693.9,Random Array
6000,5,6237.9,Reversed Array
6000,5,6407.2,Nearly Sorted Array
6000,10,4946.2,Random Array
6000,10,4250.7,Reversed Array
6000,10,4578.4,Nearly Sorted Array
6000,15,3797.9,Random Array
6000,15,3354.7,Reversed Array
6000,15,3245.9,Nearly Sorted Array
6000,20,3781.2,Random Array
6000,20,3454.4,Reversed Array
6000,20,3366,Nearly Sorted Array
6000,30,3322.3,Random Array
6000,30,3295.6,Reversed Array
6000,30,2695.8,Nearly Sorted Array
6000,50,3405.2,Random Array
6000,50,4162.1,Reversed Array
6000,50,2346.2,Nearly Sorted Array
6100,5,6986,Random Array
6100,5,6454.7,Reversed Array
6100,5,6622.1,Nearly Sorted Array
6100,10,4906.1,Random Array
6100,10,4488,Reversed Array
6100,10,4480.3,Nearly Sorted Array
6100,15,3802.5,Random Array
6100,15,3400.4,Reversed Array
6100,15,3393.7,Nearly Sorted Array
6100,20,3819.6,Random Array
6100,20,3438.2,Reversed Array
6100,20,3397.2,Nearly Sorted Array
6100,30,3376.8,Random Array
6100,30,3353,Reversed Array
6100,30,2735.6,Nearly Sorted Array
6100,50,3451.3,Random Array
6100,50,4143,Reversed Array
6100,50,2403.2,Nearly Sorted Array
6200,5,7101.5,Random Array
6200,5,6604.9,Reversed Array
6200,5,6862.7,Nearly Sorted Array
6200,10,4989.1,Random Array
6200,10,4367.7,Reversed Array
6200,10,4626.8,Nearly Sorted Array
6200,15,4039.4,Random Array
6200,15,4086.4,Reversed Array
6200,15,3332,Nearly Sorted Array
6200,20,3918.8,Random Array
6200,20,3501.1,Reversed Array
6200,20,3349.7,Nearly Sorted Array
6200,30,3423,Random Array
6200,30,3411.6,Reversed Array
6200,30,2779.5,Nearly Sorted Array
6200,50,3503.4,Random Array
6200,50,4251,Reversed Array
6200,50,2655.1,Nearly Sorted Array
6300,5,7100,Random Array
6300,5,6471.1,Reversed Array
6300,5,6889.6,Nearly Sorted Array
6300,10,5119.1,Random Array
6300,10,4782.4,Reversed Array
6300,10,4748.8,Nearly Sorted Array
6300,15,4042.8,Random Array
6300,15,3764.6,Reversed Array
6300,15,3382.2,Nearly Sorted Array
6300,20,3992.1,Random Array
6300,20,3696,Reversed Array
6300,20,3425.4,Nearly Sorted Array
6300,30,3571.4,Random Array
6300,30,3489.7,Reversed Array
6300,30,2837.4,Nearly Sorted Array
6300,50,3844,Random Array
6300,50,4335,Reversed Array
6300,50,2567.4,Nearly Sorted Array
6400,5,7737.3,Random Array
6400,5,6447.4,Reversed Array
6400,5,6925.4,Nearly Sorted Array
6400,10,5016.8,Random Array
6400,10,4627.9,Reversed Array
6400,10,4744.7,Nearly Sorted Array
6400,15,3947.3,Random Array
6400,15,3795.4,Reversed Array
6400,15,3494.9,Nearly Sorted Array
6400,20,4028,Random Array
6400,20,3590.5,Reversed Array
6400,20,3503.5,Nearly Sorted Array
6400,30,3617.3,Random Array
6400,30,3607,Reversed Array
6400,30,2822.3,Nearly Sorted Array
6400,50,3682.4,Random Array
6400,50,4568.9,Reversed Array
6400,50,2594.7,Nearly Sorted Array
6500,5,7306.6,Random Array
6500,5,6879.6,Reversed Array
6500,5,7177.2,Nearly Sorted Array
6500,10,5295.7,Random Array
6500,10,4651.6,Reversed Array
6500,10,4612.6,Nearly Sorted Array
6500,15,4081.8,Random Array
6500,15,3629,Reversed Array
6500,15,3467.3,Nearly Sorted Array
6500,20,4086.6,Random Array
6500,20,3657.7,Reversed Array
6500,20,3596.8,Nearly Sorted Array
6500,30,3592.5,Random Array
6500,30,3728,Reversed Array
6500,30,2856.6,Nearly Sorted Array
6500,50,3630.6,Random Array
6500,50,3932.4,Reversed Array
6500,50,2814.7,Nearly Sorted Array
6600,5,7585.6,Random Array
6600,5,6569.1,Reversed Array
6600,5,6814.4,Nearly Sorted Array
6600,10,5236.2,Random Array
6600,10,4528.1,Reversed Array
6600,10,4951.1,Nearly Sorted Array
6600,15,4175,Random Array
6600,15,3722.1,Reversed Array
6600,15,3573.7,Nearly Sorted Array
6600,20,4145.8,Random Array
6600,20,3649.2,Reversed Array
6600,20,3485.3,Nearly Sorted Array
6600,30,3629.3,Random Array
6600,30,3676.7,Reversed Array
6600,30,2861.7,Nearly Sorted Array
6600,50,3686.7,Random Array
6600,50,3756.5,Reversed Array
6600,50,3029.9,Nearly Sorted Array
6700,5,7575.4,Random Array
6700,5,6851.3,Reversed Array
6700,5,6951.3,Nearly Sorted Array
6700,10,5207.2,Random Array
6700,10,5016.2,Reversed Array
6700,10,4721.8,Nearly Sorted Array
6700,15,4238.2,Random Array
6700,15,3712.9,Reversed Array
6700,15,3666.9,Nearly Sorted Array
6700,20,4132.8,Random Array
6700,20,3697.8,Reversed Array
6700,20,3672.4,Nearly Sorted Array
6700,30,3743.9,Random Array
6700,30,3761.1,Reversed Array
6700,30,2971.6,Nearly Sorted Array
6700,50,3706,Random Array
6700,50,3759.5,Reversed Array
6700,50,2957.7,Nearly Sorted Array
6800,5,7719.4,Random Array
6800,5,6643.7,Reversed Array
6800,5,7212.8,Nearly Sorted Array
6800,10,5415.1,Random Array
6800,10,4643.2,Reversed Array
6800,10,4923.6,Nearly Sorted Array
6800,15,4327.2,Random Array
6800,15,3887.1,Reversed Array
6800,15,3592.6,Nearly Sorted Array
6800,20,4502.2,Random Array
6800,20,4019.9,Reversed Array
6800,20,3889.7,Nearly Sorted Array
6800,30,4213.7,Random Array
6800,30,4026.8,Reversed Array
6800,30,3206.2,Nearly Sorted Array
6800,50,3832.5,Random Array
6800,50,3894.2,Reversed Array
6800,50,2949.7,Nearly Sorted Array
6900,5,7363.3,Random Array
6900,5,6995.9,Reversed Array
6900,5,8075.5,Nearly Sorted Array
6900,10,5456.6,Random Array
6900,10,4682,Reversed Array
6900,10,4971.1,Nearly Sorted Array
6900,15,4254,Random Array
6900,15,4112.3,Reversed Array
6900,15,3635.4,Nearly Sorted Array
6900,20,4307,Random Array
6900,20,3958.9,Reversed Array
6900,20,3702.4,Nearly Sorted Array
6900,30,3848.3,Random Array
6900,30,4638.6,Reversed Array
6900,30,3026.2,Nearly Sorted Array
6900,50,3887.1,Random Array
6900,50,3915.9,Reversed Array
6900,50,2995.8,Nearly Sorted Array
7000,5,7605.8,Random Array
7000,5,7117,Reversed Array
7000,5,7862.2,Nearly Sorted Array
7000,10,6444.4,Random Array
7000,10,4953.6,Reversed Array
7000,10,5109.1,Nearly Sorted Array
7000,15,4441.5,Random Array
7000,15,3968.6,Reversed Array
7000,15,3638.3,Nearly Sorted Array
7000,20,4359.5,Random Array
7000,20,4036.3,Reversed Array
7000,20,4310.5,Nearly Sorted Array
7000,30,3891.9,Random Array
7000,30,4449.2,Reversed Array
7000,30,3128.5,Nearly Sorted Array
7000,50,3908.6,Random Array
7000,50,3990,Reversed Array
7000,50,3047.9,Nearly Sorted Array
7100,5,7874.1,Random Array
7100,5,7097.3,Reversed Array
7100,5,7634.1,Nearly Sorted Array
7100,10,5413.5,Random Array
7100,10,4874.1,Reversed Array
7100,10,4871.6,Nearly Sorted Array
7100,15,4627.5,Random Array
7100,15,4091.3,Reversed Array
7100,15,3764.3,Nearly Sorted Array
7100,20,4343,Random Array
7100,20,4097.5,Reversed Array
7100,20,3727.7,Nearly Sorted Array
7100,30,3943.4,Random Array
7100,30,4086.5,Reversed Array
7100,30,3053.8,Nearly Sorted Array
7100,50,3993.6,Random Array
7100,50,4030.3,Reversed Array
7100,50,3090.8,Nearly Sorted Array
7200,5,7977.9,Random Array
7200,5,7039.5,Reversed Array
7200,5,7112.1,Nearly Sorted Array
7200,10,5497.1,Random Array
7200,10,4780.3,Reversed Array
7200,10,5026.6,Nearly Sorted Array
7200,15,4363.1,Random Array
7200,15,4087.4,Reversed Array
7200,15,3979.2,Nearly Sorted Array
7200,20,5168.7,Random Array
7200,20,4218.3,Reversed Array
7200,20,3885.3,Nearly Sorted Array
7200,30,4051.2,Random Array
7200,30,4116.8,Reversed Array
7200,30,3207.1,Nearly Sorted Array
7200,50,4052.4,Random Array
7200,50,4252,Reversed Array
7200,50,3169.6,Nearly Sorted Array
7300,5,7635.6,Random Array
7300,5,6970,Reversed Array
7300,5,7294.5,Nearly Sorted Array
7300,10,5490.8,Random Array
7300,10,4832.3,Reversed Array
7300,10,5009.4,Nearly Sorted Array
7300,15,4504.8,Random Array
7300,15,4057.3,Reversed Array
7300,15,3825.6,Nearly Sorted Array
7300,20,4523.4,Random Array
7300,20,4102.9,Reversed Array
7300,20,3762.3,Nearly Sorted Array
7300,30,4398.2,Random Array
7300,30,4151.3,Reversed Array
7300,30,3276.7,Nearly Sorted Array
7300,50,4073.9,Random Array
7300,50,4573,Reversed Array
7300,50,3171.2,Nearly Sorted Array
7400,5,7621.6,Random Array
7400,5,6778.2,Reversed Array
7400,5,7250.7,Nearly Sorted Array
7400,10,5552.1,Random Array
7400,10,4862.2,Reversed Array
7400,10,4971,Nearly Sorted Array
7400,15,4464.5,Random Array
7400,15,4126.9,Reversed Array
7400,15,3834.5,Nearly Sorted Array
7400,20,4489.6,Random Array
7400,20,4204.9,Reversed Array
7400,20,4236.9,Nearly Sorted Array
7400,30,4110.1,Random Array
7400,30,4259.7,Reversed Array
7400,30,3247.2,Nearly Sorted Array
7400,50,4110,Random Array
7400,50,4277.7,Reversed Array
7400,50,3187.1,Nearly Sorted Array
7500,5,8166,Random Array
7500,5,6981.3,Reversed Array
7500,5,7276.6,Nearly Sorted Array
7500,10,5592.6,Random Array
7500,10,4907.1,Reversed Array
7500,10,5099.1,Nearly Sorted Array
7500,15,4586.6,Random Array
7500,15,4142.8,Reversed Array
7500,15,4100.8,Nearly Sorted Array
7500,20,4606.4,Random Array
7500,20,4239.9,Reversed Array
7500,20,3916.1,Nearly Sorted Array
7500,30,4241.6,Random Array
7500,30,4366.6,Reversed Array
7500,30,3459.2,Nearly Sorted Array
7500,50,4262.5,Random Array
7500,50,4416,Reversed Array
7500,50,3336.2,Nearly Sorted Array
7600,5,8384.3,Random Array
7600,5,7052.7,Reversed Array
7600,5,7807.6,Nearly Sorted Array
7600,10,5790.8,Random Array
7600,10,5032.6,Reversed Array
7600,10,5365.7,Nearly Sorted Array
7600,15,4736,Random Array
7600,15,4232.7,Reversed Array
7600,15,4087.5,Nearly Sorted Array
7600,20,4652.5,Random Array
7600,20,4274.6,Reversed Array
7600,20,3949.4,Nearly Sorted Array
7600,30,4474.4,Random Array
7600,30,4505.5,Reversed Array
7600,30,3274.1,Nearly Sorted Array
7600,50,4326.2,Random Array
7600,50,4435.7,Reversed Array
7600,50,3499.3,Nearly Sorted Array
7700,5,8066.7,Random Array
7700,5,7304.9,Reversed Array
7700,5,7504.9,Nearly Sorted Array
7700,10,5873.1,Random Array
7700,10,5045.2,Reversed Array
7700,10,5161.8,Nearly Sorted Array
7700,15,4718.2,Random Array
7700,15,4374.7,Reversed Array
7700,15,4162.2,Nearly Sorted Array
7700,20,4730.4,Random Array
7700,20,4319.5,Reversed Array
7700,20,3914.5,Nearly Sorted Array
7700,30,4403.1,Random Array
7700,30,4517,Reversed Array
7700,30,3466.8,Nearly Sorted Array
7700,50,4385.4,Random Array
7700,50,4595.3,Reversed Array
7700,50,3367.1,Nearly Sorted Array
7800,5,8065.8,Random Array
7800,5,7365,Reversed Array
7800,5,7524.8,Nearly Sorted Array
7800,10,6286.5,Random Array
7800,10,5191.1,Reversed Array
7800,10,5415.7,Nearly Sorted Array
7800,15,5073.7,Random Array
7800,15,4603.9,Reversed Array
7800,15,4275.9,Nearly Sorted Array
7800,20,4773.1,Random Array
7800,20,4350.1,Reversed Array
7800,20,4097.6,Nearly Sorted Array
7800,30,4555.5,Random Array
7800,30,4449.8,Reversed Array
7800,30,3749.7,Nearly Sorted Array
7800,50,4483.2,Random Array
7800,50,4669.9,Reversed Array
7800,50,3442.5,Nearly Sorted Array
7900,5,8171,Random Array
7900,5,7133.4,Reversed Array
7900,5,7758.6,Nearly Sorted Array
7900,10,6232.3,Random Array
7900,10,5431.1,Reversed Array
7900,10,5245.6,Nearly Sorted Array
7900,15,5260.3,Random Array
7900,15,4800.8,Reversed Array
7900,15,4617.2,Nearly Sorted Array
7900,20,4948.9,Random Array
7900,20,4336.1,Reversed Array
7900,20,4039.3,Nearly Sorted Array
7900,30,4751.4,Random Array
7900,30,4469.3,Reversed Array
7900,30,3987.5,Nearly Sorted Array
7900,50,4420.2,Random Array
7900,50,4645.9,Reversed Array
7900,50,3516.3,Nearly Sorted Array
8000,5,8218.2,Random Array
8000,5,7562.3,Reversed Array
8000,5,7600.8,Nearly Sorted Array
8000,10,6573.5,Random Array
8000,10,5514.4,Reversed Array
8000,10,5275.6,Nearly Sorted Array
8000,15,5657,Random Array
8000,15,5021.9,Reversed Array
8000,15,4949.3,Nearly Sorted Array
8000,20,4841.2,Random Array
8000,20,4716.1,Reversed Array
8000,20,4115.9,Nearly Sorted Array
8000,30,4896.2,Random Array
8000,30,4601.6,Reversed Array
8000,30,4091.5,Nearly Sorted Array
8000,50,4490.9,Random Array
8000,50,4796.6,Reversed Array
8000,50,3597.7,Nearly Sorted Array
8100,5,8384.1,Random Array
8100,5,7461.6,Reversed Array
8100,5,7779.8,Nearly Sorted Array
8100,10,6001.6,Random Array
8100,10,5464.3,Reversed Array
8100,10,5641.6,Nearly Sorted Array
8100,15,5722.3,Random Array
8100,15,5070.8,Reversed Array
8100,15,5199.7,Nearly Sorted Array
8100,20,4898.7,Random Array
8100,20,4578.9,Reversed Array
8100,20,4157.8,Nearly Sorted Array
8100,30,4982.3,Random Array
8100,30,4550.8,Reversed Array
8100,30,4724.3,Nearly Sorted Array
8100,50,4630.7,Random Array
8100,50,4849.5,Reversed Array
8100,50,3525.6,Nearly Sorted Array
8200,5,8086.3,Random Array
8200,5,7409.6,Reversed Array
8200,5,8267.4,Nearly Sorted Array
8200,10,6197.9,Random Array
8200,10,5227.3,Reversed Array
8200,10,5603.6,Nearly Sorted Array
8200,15,6134.6,Random Array
8200,15,5399.2,Reversed Array
8200,15,5523.2,Nearly Sorted Array
8200,20,5027.6,Random Array
8200,20,4671.2,Reversed Array
8200,20,4187.7,Nearly Sorted Array
8200,30,5021.4,Random Array
8200,30,4771.7,Reversed Array
8200,30,4132.9,Nearly Sorted Array
8200,50,4621,Random Array
8200,50,4940.1,Reversed Array
8200,50,3510,Nearly Sorted Array
8300,5,8686.3,Random Array
8300,5,7466.7,Reversed Array
8300,5,8189.4,Nearly Sorted Array
8300,10,6388.7,Random Array
8300,10,5269.3,Reversed Array
8300,10,5443.7,Nearly Sorted Array
8300,15,6280,Random Array
8300,15,5358.1,Reversed Array
8300,15,5642.4,Nearly Sorted Array
8300,20,5151.2,Random Array
8300,20,4683,Reversed Array
8300,20,4376.2,Nearly Sorted Array
8300,30,5100.9,Random Array
8300,30,4805.6,Reversed Array
8300,30,4297.5,Nearly Sorted Array
8300,50,4699.7,Random Array
8300,50,5280,Reversed Array
8300,50,3600.9,Nearly Sorted Array
8400,5,8325.4,Random Array
8400,5,7632.4,Reversed Array
8400,5,8097.6,Nearly Sorted Array
8400,10,6146,Random Array
8400,10,5444.9,Reversed Array
8400,10,5468.8,Nearly Sorted Array
8400,15,6382.5,Random Array
8400,15,5395.2,Reversed Array
8400,15,5529.8,Nearly Sorted Array
8400,20,5145.7,Random Array
8400,20,5080.3,Reversed Array
8400,20,4378.2,Nearly Sorted Array
8400,30,5018.2,Random Array
8400,30,4788,Reversed Array
8400,30,4456,Nearly Sorted Array
8400,50,4933.2,Random Array
8400,50,5035.3,Reversed Array
8400,50,3719,Nearly Sorted Array
8500,5,8730.1,Random Array
8500,5,7731,Reversed Array
8500,5,7616.6,Nearly Sorted Array
8500,10,6324.6,Random Array
8500,10,5592.4,Reversed Array
8500,10,5599,Nearly Sorted Array
8500,15,6225.5,Random Array
8500,15,5570,Reversed Array
8500,15,6085.4,Nearly Sorted Array
8500,20,5218,Random Array
8500,20,4674.5,Reversed Array
8500,20,4594.6,Nearly Sorted Array
8500,30,5542.4,Random Array
8500,30,4883.4,Reversed Array
8500,30,4428,Nearly Sorted Array
8500,50,4832,Random Array
8500,50,5326.6,Reversed Array
8500,50,3742.8,Nearly Sorted Array
8600,5,8632,Random Array
8600,5,7826.2,Reversed Array
8600,5,8037.1,Nearly Sorted Array
8600,10,6337.6,Random Array
8600,10,5506.4,Reversed Array
8600,10,5704.2,Nearly Sorted Array
8600,15,6774.8,Random Array
8600,15,5702.2,Reversed Array
8600,15,5572.9,Nearly Sorted Array
8600,20,5436.7,Random Array
8600,20,5274.6,Reversed Array
8600,20,4744.4,Nearly Sorted Array
8600,30,5126.6,Random Array
8600,30,4919.1,Reversed Array
8600,30,4683.5,Nearly Sorted Array
8600,50,4928.2,Random Array
8600,50,5248.2,Reversed Array
8600,50,3754,Nearly Sorted Array
8700,5,8489.4,Random Array
8700,5,7635.9,Reversed Array
8700,5,8174.9,Nearly Sorted Array
8700,10,6453,Random Array
8700,10,5995.2,Reversed Array
8700,10,5858.2,Nearly Sorted Array
8700,15,6517.4,Random Array
8700,15,5632.3,Reversed Array
8700,15,5639.1,Nearly Sorted Array
8700,20,5248.9,Random Array
8700,20,4891.6,Reversed Array
8700,20,4407.7,Nearly Sorted Array
8700,30,5330.6,Random Array
8700,30,5009.3,Reversed Array
8700,30,4609.8,Nearly Sorted Array
8700,50,5158,Random Array
8700,50,5322,Reversed Array
8700,50,3745.4,Nearly Sorted Array
8800,5,8611.3,Random Array
8800,5,7469.7,Reversed Array
8800,5,7795.3,Nearly Sorted Array
8800,10,6362.3,Random Array
8800,10,5636.1,Reversed Array
8800,10,5925.2,Nearly Sorted Array
8800,15,6507.9,Random Array
8800,15,6006.1,Reversed Array
8800,15,5695.7,Nearly Sorted Array
8800,20,5349.4,Random Array
8800,20,5200.1,Reversed Array
8800,20,4713.5,Nearly Sorted Array
8800,30,5489,Random Array
8800,30,5002.4,Reversed Array
8800,30,4657.1,Nearly Sorted Array
8800,50,5109.8,Random Array
8800,50,5407.9,Reversed Array
8800,50,3834.8,Nearly Sorted Array
8900,5,8837.5,Random Array
8900,5,8393.7,Reversed Array
8900,5,8065.1,Nearly Sorted Array
8900,10,6446,Random Array
8900,10,5530.2,Reversed Array
8900,10,5934.5,Nearly Sorted Array
8900,15,6367.2,Random Array
8900,15,5538.1,Reversed Array
8900,15,5701.1,Nearly Sorted Array
8900,20,5393.7,Random Array
8900,20,4994.6,Reversed Array
8900,20,4418,Nearly Sorted Array
8900,30,5486,Random Array
8900,30,4976.2,Reversed Array
8900,30,4418.4,Nearly Sorted Array
8900,50,5050.1,Random Array
8900,50,5523.1,Reversed Array
8900,50,3789.8,Nearly Sorted Array
9000,5,8473.5,Random Array
9000,5,7669,Reversed Array
9000,5,8361.4,Nearly Sorted Array
9000,10,6647.7,Random Array
9000,10,5781,Reversed Array
9000,10,5746.5,Nearly Sorted Array
9000,15,6508.8,Random Array
9000,15,5853.7,Reversed Array
9000,15,5985,Nearly Sorted Array
9000,20,5389.6,Random Array
9000,20,4985.3,Reversed Array
9000,20,4536.5,Nearly Sorted Array
9000,30,5545.3,Random Array
9000,30,5119.7,Reversed Array
9000,30,4425,Nearly Sorted Array
9000,50,5639.3,Random Array
9000,50,5515.8,Reversed Array
9000,50,3911.4,Nearly Sorted Array
9100,5,9146,Random Array
9100,5,7552.6,Reversed Array
9100,5,8177.5,Nearly Sorted Array
9100,10,6763.9,Random Array
9100,10,5760.1,Reversed Array
9100,10,5904.8,Nearly Sorted Array
9100,15,6747.2,Random Array
9100,15,5726,Reversed Array
9100,15,6144,Nearly Sorted Array
9100,20,5435.2,Random Array
9100,20,5014.1,Reversed Array
9100,20,4517.9,Nearly Sorted Array
9100,30,5475.1,Random Array
9100,30,5094.3,Reversed Array
9100,30,4682.3,Nearly Sorted Array
9100,50,5203,Random Array
9100,50,5766.6,Reversed Array
9100,50,4042.9,Nearly Sorted Array
9200,5,8807.1,Random Array
9200,5,7998.8,Reversed Array
9200,5,8162.7,Nearly Sorted Array
9200,10,6588.4,Random Array
9200,10,6004.9,Reversed Array
9200,10,5880.3,Nearly Sorted Array
9200,15,6493.5,Random Array
9200,15,5882.2,Reversed Array
9200,15,5982.8,Nearly Sorted Array
9200,20,5428.9,Random Array
9200,20,5043.3,Reversed Array
9200,20,4635.4,Nearly Sorted Array
9200,30,5419.2,Random Array
9200,30,5190.1,Reversed Array
9200,30,4618.9,Nearly Sorted Array
9200,50,5292.4,Random Array
9200,50,5752.8,Reversed Array
9200,50,4022.2,Nearly Sorted Array
9300,5,8823.6,Random Array
9300,5,8123.2,Reversed Array
9300,5,8040.5,Nearly Sorted Array
9300,10,6812.7,Random Array
9300,10,6024,Reversed Array
9300,10,6168.1,Nearly Sorted Array
9300,15,6748.2,Random Array
9300,15,5945.2,Reversed Array
9300,15,6055.5,Nearly Sorted Array
9300,20,5808.6,Random Array
9300,20,5343.6,Reversed Array
9300,20,4737,Nearly Sorted Array
9300,30,5782.3,Random Array
9300,30,5246.5,Reversed Array
9300,30,4677.2,Nearly Sorted Array
9300,50,5672,Random Array
9300,50,5853.9,Reversed Array
9300,50,4086.1,Nearly Sorted Array
9400,5,9430.2,Random Array
9400,5,7710.7,Reversed Array
9400,5,8362.1,Nearly Sorted Array
9400,10,6773.6,Random Array
9400,10,5984.5,Reversed Array
9400,10,6014,Nearly Sorted Array
9400,15,6859.1,Random Array
9400,15,6026.7,Reversed Array
9400,15,5997.5,Nearly Sorted Array
9400,20,6257.9,Random Array
9400,20,5336.7,Reversed Array
9400,20,4702.6,Nearly Sorted Array
9400,30,5732.6,Random Array
9400,30,5431.8,Reversed Array
9400,30,4666.3,Nearly Sorted Array
