Size,Threshold,Time,Array Type
1400,30,637.7,Random Array
1400,30,671.1,Reversed Array
1400,30,575.1,Nearly Sorted Array
1400,50,667.8,Random Array
1400,50,824.8,Reversed Array
1400,50,456.3,Nearly Sorted Array
1500,5,1633.2,Random Array
1500,5,1631.1,Reversed Array
1500,5,1455.6,Nearly Sorted Array
1500,10,1071.3,Random Array
1500,10,964.6,Reversed Array
1500,10,981.8,Nearly Sorted Array
1500,15,862.9,Random Array
1500,15,743.2,Reversed Array
1500,15,702.2,Nearly Sorted Array
1500,20,797,Random Array
1500,20,745.2,Reversed Array
1500,20,705.2,Nearly Sorted Array
1500,30,740.6,Random Array
1500,30,734.7,Reversed Array
1500,30,546.1,Nearly Sorted Array
1500,50,724.1,Random Array
1500,50,924.2,Reversed Array
1500,50,500.1,Nearly Sorted Array
1600,5,1754.5,Random Array
1600,5,1477.4,Reversed Array
1600,5,1747.1,Nearly Sorted Array
1600,10,1134.2,Random Array
1600,10,993.7,Reversed Array
1600,10,1029.2,Nearly Sorted Array
1600,15,845.9,Random Array
1600,15,810.6,Reversed Array
1600,15,728.2,Nearly Sorted Array
1600,20,840.8,Random Array
1600,20,824.4,Reversed Array
1600,20,771.6,Nearly Sorted Array
1600,30,746.1,Random Array
1600,30,791.7,Reversed Array
1600,30,577.9,Nearly Sorted Array
1600,50,776.8,Random Array
1600,50,1007.6,Reversed Array
1600,50,871.7,Nearly Sorted Array
1700,5,2183.1,Random Array
1700,5,1522.7,Reversed Array
1700,5,1564.1,Nearly Sorted Array
1700,10,1161.6,Random Array
1700,10,1051.4,Reversed Array
1700,10,1074.7,Nearly Sorted Array
1700,15,894.2,Random Array
1700,15,838.5,Reversed Array
1700,15,760,Nearly Sorted Array
1700,20,1428.7,Random Array
1700,20,857,Reversed Array
1700,20,815.2,Nearly Sorted Array
1700,30,810.4,Random Array
1700,30,867.3,Reversed Array
1700,30,612.2,Nearly Sorted Array
1700,50,791.4,Random Array
1700,50,885.1,Reversed Array
1700,50,612.1,Nearly Sorted Array
1800,5,1778.1,Random Array
1800,5,1739.8,Reversed Array
1800,5,1736.1,Nearly Sorted Array
1800,10,1263.6,Random Array
1800,10,1080,Reversed Array
1800,10,1130.1,Nearly Sorted Array
1800,15,946.2,Random Array
1800,15,895.6,Reversed Array
1800,15,794.9,Nearly Sorted Array
1800,20,929.7,Random Array
1800,20,933.3,Reversed Array
1800,20,851.3,Nearly Sorted Array
1800,30,909.6,Random Array
1800,30,924.9,Reversed Array
1800,30,653.3,Nearly Sorted Array
1800,50,841.2,Random Array
1800,50,933.5,Reversed Array
1800,50,647.9,Nearly Sorted Array
1900,5,1765.3,Random Array
1900,5,1592.7,Reversed Array
1900,5,1893.9,Nearly Sorted Array
1900,10,1244.8,Random Array
1900,10,1195.7,Reversed Array
1900,10,1169.7,Nearly Sorted Array
1900,15,974.8,Random Array
1900,15,988.1,Reversed Array
1900,15,831.6,Nearly Sorted Array
1900,20,965.2,Random Array
1900,20,948.6,Reversed Array
1900,20,828.6,Nearly Sorted Array
1900,30,932.2,Random Array
1900,30,1018.8,Reversed Array
1900,30,688.2,Nearly Sorted Array
1900,50,875.6,Random Array
1900,50,982.4,Reversed Array
1900,50,704.8,Nearly Sorted Array
2000,5,1888,Random Array
2000,5,1632.3,Reversed Array
2000,5,1682.3,Nearly Sorted Array
2000,10,1280.7,Random Array
2000,10,1162,Reversed Array
2000,10,1256.5,Nearly Sorted Array
2000,15,1228.7,Random Array
2000,15,1084,Reversed Array
2000,15,1227.3,Nearly Sorted Array
2000,20,1011.3,Random Array
2000,20,1029.4,Reversed Array
2000,20,866.5,Nearly Sorted Array
2000,30,1071.5,Random Array
2000,30,1022.5,Reversed Array
2000,30,861.3,Nearly Sorted Array
2000,50,936,Random Array
2000,50,1065.8,Reversed Array
2000,50,707.3,Nearly Sorted Array
2100,5,2024.2,Random Array
2100,5,1692.9,Reversed Array
2100,5,1729.4,Nearly Sorted Array
2100,10,1350.6,Random Array
2100,10,1326.1,Reversed Array
2100,10,1196.6,Nearly Sorted Array
2100,15,2079.3,Random Array
2100,15,2016,Reversed Array
2100,15,1860.1,Nearly Sorted Array
2100,20,1101.5,Random Array
2100,20,1116.4,Reversed Array
2100,20,938.4,Nearly Sorted Array
2100,30,1063.4,Random Array
2100,30,1042.8,Reversed Array
2100,30,920.8,Nearly Sorted Array
2100,50,1000.7,Random Array
2100,50,1126.1,Reversed Array
2100,50,743.7,Nearly Sorted Array
2200,5,1945.5,Random Array
2200,5,1727.7,Reversed Array
2200,5,1980.5,Nearly Sorted Array
2200,10,1462.2,Random Array
2200,10,1257,Reversed Array
2200,10,1229.3,Nearly Sorted Array
2200,15,1437.4,Random Array
2200,15,1320.4,Reversed Array
2200,15,1217.7,Nearly Sorted Array
2200,20,1161.2,Random Array
2200,20,1081.7,Reversed Array
2200,20,974.2,Nearly Sorted Array
2200,30,1160.9,Random Array
2200,30,1129.7,Reversed Array
2200,30,924.4,Nearly Sorted Array
2200,50,1088.2,Random Array
2200,50,1245.7,Reversed Array
2200,50,775.5,Nearly Sorted Array
2300,5,1956.8,Random Array
2300,5,1810.1,Reversed Array
2300,5,1940.7,Nearly Sorted Array
2300,10,1406.2,Random Array
2300,10,1407.1,Reversed Array
2300,10,1395.4,Nearly Sorted Array
2300,15,1498.7,Random Array
2300,15,1393.9,Reversed Array
2300,15,1280.3,Nearly Sorted Array
2300,20,1172.5,Random Array
2300,20,1192.5,Reversed Array
2300,20,985.5,Nearly Sorted Array
2300,30,1167.8,Random Array
2300,30,1174.9,Reversed Array
2300,30,1000.7,Nearly Sorted Array
2300,50,1112,Random Array
2300,50,1293,Reversed Array
2300,50,856.6,Nearly Sorted Array
2400,5,2060.9,Random Array
2400,5,1841.9,Reversed Array
2400,5,2019.3,Nearly Sorted Array
2400,10,1485,Random Array
2400,10,1334.4,Reversed Array
2400,10,1294.2,Nearly Sorted Array
2400,15,1482.4,Random Array
2400,15,1366.1,Reversed Array
2400,15,1375.8,Nearly Sorted Array
2400,20,1236.7,Random Array
2400,20,1207.5,Reversed Array
2400,20,987.9,Nearly Sorted Array
2400,30,1250.5,Random Array
2400,30,1192.2,Reversed Array
2400,30,1022.4,Nearly Sorted Array
2400,50,1191.5,Random Array
