N	Scale	ApproxArea	Error
77600	3x3	0.937345	0.00717183
78100	3x3	0.937798	0.00671949
78600	3x3	0.937557	0.00695993
79100	3x3	0.937889	0.00662844
79600	3x3	0.937764	0.00675337
80100	3x3	0.938427	0.00609022
80600	3x3	0.937854	0.00666359
81100	3x3	0.938064	0.00645307
81600	3x3	0.938272	0.00624513
82100	3x3	0.938258	0.00625896
82600	3x3	0.938898	0.00561888
83100	3x3	0.938231	0.00628614
83600	3x3	0.938433	0.00608417
84100	3x3	0.938098	0.00641968
84600	3x3	0.938085	0.00643208
85100	3x3	0.937756	0.0067616
85600	3x3	0.937009	0.00750784
86100	3x3	0.937003	0.0075137
86600	3x3	0.937621	0.00689594
87100	3x3	0.936889	0.00762855
87600	3x3	0.937089	0.00742814
88100	3x3	0.9379	0.00661707
88600	3x3	0.939413	0.00510409
89100	3x3	0.940202	0.00431517
89600	3x3	0.939877	0.00463995
90100	3x3	0.940155	0.0043618
90600	3x3	0.941126	0.00339136
91100	3x3	0.941789	0.00272794
91600	3x3	0.941266	0.00325081
92100	3x3	0.940456	0.00406116
92600	3x3	0.940626	0.00389084
93100	3x3	0.939538	0.00497905
93600	3x3	0.939038	0.00547872
94100	3x3	0.939214	0.00530358
94600	3x3	0.938626	0.00589139
95100	3x3	0.938896	0.00562129
95600	3x3	0.938692	0.00582472
96100	3x3	0.938959	0.00555777
96600	3x3	0.939876	0.00464141
97100	3x3	0.939392	0.00512481
97600	3x3	0.939283	0.0052344
98100	3x3	0.939174	0.00534287
98600	3x3	0.939249	0.00526769
99100	3x3	0.938688	0.00582899
99600	3x3	0.939036	0.00548104
100	1.4x1.4	0.9996	0.0550828
600	1.4x1.4	0.914667	0.0298505
1100	1.4x1.4	0.933673	0.0108445
1600	1.4x1.4	0.9751	0.0305828
2100	1.4x1.4	0.976267	0.0317495
2600	1.4x1.4	0.9702	0.0256828
3100	1.4x1.4	0.972413	0.0278957
3600	1.4x1.4	0.978911	0.0343939
4100	1.4x1.4	0.981912	0.037395
4600	1.4x1.4	0.983835	0.0393176
5100	1.4x1.4	0.98	0.0354828
5600	1.4x1.4	0.97125	0.0267328
6100	1.4x1.4	0.962007	0.0174894
6600	1.4x1.4	0.961291	0.0167737
7100	1.4x1.4	0.96178	0.0172631
7600	1.4x1.4	0.963753	0.0192354
8100	1.4x1.4	0.965965	0.0214482
8600	1.4x1.4	0.959488	0.0149712
9100	1.4x1.4	0.959108	0.0145905
9600	1.4x1.4	0.957746	0.0132286
10100	1.4x1.4	0.956519	0.0120016
10600	1.4x1.4	0.955962	0.0114451
11100	1.4x1.4	0.956162	0.011645
11600	1.4x1.4	0.956514	0.0119966
12100	1.4x1.4	0.954245	0.00972744
12600	1.4x1.4	0.954489	0.0099717
13100	1.4x1.4	0.95651	0.0119927
13600	1.4x1.4	0.956221	0.0117034
14100	1.4x1.4	0.957898	0.0133807
14600	1.4x1.4	0.958521	0.0140034
15100	1.4x1.4	0.959881	0.0153636
15600	1.4x1.4	0.959521	0.0150033
16100	1.4x1.4	0.95833	0.0138132
16600	1.4x1.4	0.957566	0.0130491
17100	1.4x1.4	0.957305	0.0127881
17600	1.4x1.4	0.958173	0.0136555
18100	1.4x1.4	0.956285	0.0117679
18600	1.4x1.4	0.955553	0.0110355
19100	1.4x1.4	0.956398	0.0118807
19600	1.4x1.4	0.9556	0.0110828
20100	1.4x1.4	0.955134	0.0106171
20600	1.4x1.4	0.955738	0.0112207
21100	1.4x1.4	0.956406	0.0118885
21600	1.4x1.4	0.956589	0.0120717
22100	1.4x1.4	0.956498	0.0119806
22600	1.4x1.4	0.957191	0.012674
23100	1.4x1.4	0.957176	0.0126586
23600	1.4x1.4	0.957493	0.012976
24100	1.4x1.4	0.955439	0.0109218
24600	1.4x1.4	0.954026	0.00950883
25100	1.4x1.4	0.952747	0.00823022
25600	1.4x1.4	0.954888	0.0103703
26100	1.4x1.4	0.954768	0.0102506
26600	1.4x1.4	0.955242	0.0107249
27100	1.4x1.4	0.954976	0.0104585
27600	1.4x1.4	0.956565	0.012048
28100	1.4x1.4	0.95468	0.0101632
28600	1.4x1.4	0.954301	0.00978351
29100	1.4x1.4	0.953665	0.00914742
29600	1.4x1.4	0.953249	0.00873146
30100	1.4x1.4	0.952326	0.0078084
30600	1.4x1.4	0.952201	0.00768412
31100	1.4x1.4	0.951451	0.00693362
31600	1.4x1.4	0.951778	0.0072613
32100	1.4x1.4	0.945685	0.00116755
32600	1.4x1.4	0.946151	0.00163373
33100	1.4x1.4	0.946011	0.00149369
33600	1.4x1.4	0.94535	0.000832814
34100	1.4x1.4	0.945628	0.00111097
34600	1.4x1.4	0.946125	0.00160767
35100	1.4x1.4	0.946161	0.0016435
35600	1.4x1.4	0.945975	0.00145809
36100	1.4x1.4	0.945306	0.000789185
36600	1.4x1.4	0.944763	0.000245656
37100	1.4x1.4	0.944868	0.000350739
37600	1.4x1.4	0.943928	0.000589526
38100	1.4x1.4	0.944092	0.000424797
38600	1.4x1.4	0.944354	0.000162782
39100	1.4x1.4	0.943607	0.000910025
39600	1.4x1.4	0.943522	0.000994964
40100	1.4x1.4	0.943146	0.00137105
40600	1.4x1.4	0.943503	0.00101374
41100	1.4x1.4	0.944377	0.000140544
41600	1.4x1.4	0.944051	0.000466224
42100	1.4x1.4	0.944199	0.000318611
42600	1.4x1.4	0.944573	5.55841e-05
43100	1.4x1.4	0.944574	5.72921e-05
43600	1.4x1.4	0.944486	3.09474e-05
44100	1.4x1.4	0.944444	7.27415e-05
44600	1.4x1.4	0.944711	0.000194025
45100	1.4x1.4	0.945146	0.000628712
45600	1.4x1.4	0.945055	0.000538077
46100	1.4x1.4	0.945307	0.000789539
46600	1.4x1.4	0.9453	0.000783243
47100	1.4x1.4	0.945128	0.000610627
47600	1.4x1.4	0.944382	0.000134833
48100	1.4x1.4	0.943978	0.000538808
48600	1.4x1.4	0.944067	0.000450519
49100	1.4x1.4	0.944193	0.000324111
49600	1.4x1.4	0.943645	0.000872025
50100	1.4x1.4	0.943695	0.000822176
50600	1.4x1.4	0.94355	0.000966988
51100	1.4x1.4	0.944252	0.000265131
51600	1.4x1.4	0.943953	0.000564473
52100	1.4x1.4	0.943885	0.000632349
52600	1.4x1.4	0.944414	0.000102737
53100	1.4x1.4	0.944196	0.000321329
53600	1.4x1.4	0.944164	0.000353007
54100	1.4x1.4	0.944278	0.000239182
54600	1.4x1.4	0.944318	0.000199237
55100	1.4x1.4	0.944713	0.0001957
55600	1.4x1.4	0.944537	1.95047e-05
56100	1.4x1.4	0.944678	0.000160889
56600	1.4x1.4	0.944644	0.00012663
57100	1.4x1.4	0.94485	0.000333252
57600	1.4x1.4	0.944237	0.00028038
58100	1.4x1.4	0.944443	7.38124e-05
58600	1.4x1.4	0.944379	0.000138346
59100	1.4x1.4	0.94468	0.000163017
59600	1.4x1.4	0.944713	0.000196237
60100	1.4x1.4	0.944746	0.000228904
